YEAR,WEEK,%UNWEIGHTED ILI
2005,28,0.730894
2005,29,0.713432
2005,30,0.670677
2005,31,0.689278
2005,32,0.704929
2005,33,0.615903
2005,34,0.609426
2005,35,0.680259
2005,36,0.775488
2005,37,0.683421
2005,38,0.781075
2005,39,0.806943
2005,40,1.07635
2005,41,1.05869
2005,42,1.11523
2005,43,1.12381
2005,44,1.25489
2005,45,1.33661
2005,46,1.37864
2005,47,1.60829
2005,48,1.48311
2005,49,1.65374
2005,50,2.00679
2005,51,2.56857
2005,52,3.05278
2006,1,2.42504
2006,2,2.00195
2006,3,2.05869
2006,4,2.21277
2006,5,2.3222
2006,6,2.49279
2006,7,2.79489
2006,8,2.96911
2006,9,2.83959
2006,10,2.77799
2006,11,2.47287
2006,12,2.18061
2006,13,2.0168
2006,14,1.64101
2006,15,1.35829
2006,16,1.1428
2006,17,1.04031
2006,18,0.964347
2006,19,0.937982
2006,20,0.947449
2006,21,0.891918
2006,22,0.864643
2006,23,0.97032
2006,24,0.84439
2006,25,0.77487
2006,26,0.821372
2006,27,0.872745
2006,28,0.922635
2006,29,0.899487
2006,30,0.843082
2006,31,0.881824
2006,32,0.817145
2006,33,0.8715
2006,34,0.738621
2006,35,0.797966
2006,36,1.01394
2006,37,0.880936
2006,38,0.943366
2006,39,0.891546
2006,40,1.20322
2006,41,1.05788
2006,42,1.13054
2006,43,1.12552
2006,44,1.20808
2006,45,1.34952
2006,46,1.4689
2006,47,1.82767
2006,48,1.6656
2006,49,1.85968
2006,50,2.38891
2006,51,2.78978
2006,52,3.11549
2007,1,2.26942
2007,2,1.86355
2007,3,1.99986
2007,4,2.4406
2007,5,2.83018
2007,6,3.12343
2007,7,3.27019
2007,8,3.17757
2007,9,2.72364
2007,10,2.50201
2007,11,2.4272
2007,12,1.96041
2007,13,1.5914
2007,14,1.36978
2007,15,1.36317
2007,16,1.1737
2007,17,1.06358
2007,18,0.969711
2007,19,0.965362
2007,20,0.856749
2007,21,0.863346
2007,22,0.93537
2007,23,0.745569
2007,24,0.740428
2007,25,0.672897
2007,26,0.666282
2007,27,0.662747
2007,28,0.545619
2007,29,0.586231
2007,30,0.660687
2007,31,0.534093
2007,32,0.585549
2007,33,0.618075
2007,34,0.687465
2007,35,0.715696
2007,36,0.829313
2007,37,0.800912
2007,38,0.918484
2007,39,0.814259
2007,40,1.07197
2007,41,1.21786
2007,42,1.24576
2007,43,1.35984
2007,44,1.44671
2007,45,1.53286
2007,46,1.66653
2007,47,1.97488
2007,48,1.67305
2007,49,1.63405
2007,50,1.74595
2007,51,1.93643
2007,52,2.48905
2008,1,2.25405
2008,2,2.09147
2008,3,2.35934
2008,4,3.32331
2008,5,4.43381
2008,6,5.34547
2008,7,5.42258
2008,8,5.30303
2008,9,4.24456
2008,10,3.628
2008,11,3.03463
2008,12,2.53595
2008,13,2.0573
2008,14,1.7415
2008,15,1.40652
2008,16,1.26861
2008,17,1.07719
2008,18,0.993445
2008,19,0.911212
2008,20,0.972109
2008,21,0.993258
2008,22,1.09132
2008,23,0.888446
2008,24,0.887691
2008,25,0.883187
2008,26,0.826756
2008,27,0.783201
2008,28,0.78061
2008,29,0.769073
2008,30,0.721298
2008,31,0.752527
2008,32,0.752721
2008,33,0.792766
2008,34,0.743896
2008,35,0.814166
2008,36,0.838401
2008,37,0.851124
2008,38,1.10976
2008,39,1.03114
2008,40,1.02284
2008,41,1.03017
2008,42,1.01245
2008,43,1.08359
2008,44,1.16578
2008,45,1.1913
2008,46,1.28075
2008,47,1.27053
2008,48,1.59578
2008,49,1.4585
2008,50,1.49921
2008,51,1.62982
2008,52,2.15561
2008,53,2.02053
2009,1,1.54566
2009,2,1.64224
2009,3,1.96524
2009,4,2.34368
2009,5,2.86057
2009,6,3.3421
2009,7,3.20566
2009,8,3.10049
2009,9,2.95819
2009,10,2.46381
2009,11,2.19272
2009,12,1.87395
2009,13,1.64817
2009,14,1.49878
2009,15,1.29233
2009,16,1.27164
2009,17,2.98159
2009,18,2.43702
2009,19,2.2813
2009,20,3.81572
2009,21,4.21315
2009,22,3.17832
2009,23,2.50972
2009,24,2.06632
2009,25,1.71805
2009,26,1.55965
2009,27,1.30856
2009,28,1.18695
2009,29,1.13796
2009,30,1.15005
2009,31,1.11262
2009,32,1.16142
2009,33,1.64107
2009,34,2.47166
2009,35,3.71969
2009,36,3.94975
2009,37,4.08756
2009,38,4.01897
2009,39,4.60362
2009,40,5.66087
2009,41,6.81522
2009,42,7.61889
2009,43,7.38836
2009,44,6.33927
2009,45,4.94349
2009,46,3.80996
2009,47,3.44106
2009,48,2.66773
2009,49,2.47183
2009,50,2.345
2009,51,2.71435
2009,52,2.67667
2010,1,1.98284
2010,2,1.82749
2010,3,1.92606
2010,4,1.92495
2010,5,2.08877
2010,6,2.03434
2010,7,1.97649
2010,8,1.99362
2010,9,1.85383
2010,10,1.8673
2010,11,1.69987
2010,12,1.49741
2010,13,1.45112
2010,14,1.20715
2010,15,1.17415
2010,16,1.16207
2010,17,1.17213
2010,18,1.12168
2010,19,1.14981
2010,20,1.13328
2010,21,1.08171
2010,22,1.19959
2010,23,0.952808
2010,24,0.916032
2010,25,0.926582
2010,26,0.86962
2010,27,0.903133
2010,28,0.773776
2010,29,0.742774
2010,30,0.730934
2010,31,0.786882
2010,32,0.763051
2010,33,0.841043
2010,34,0.791573
2010,35,0.912732
2010,36,1.03398
